Messier number,NGC/IC number,Common name,Image,Image small,Object type,Distance (kly),Constellation,Apparent magnitude,Apparent dimensions,Right ascension,Declination
M1,NGC 1952,Crab Nebula,static/images/m1.jpg,static/images/m1_small.jpg,Supernova remnant,4.9–8.1,Taurus,8.4,420″ × 290″,05h 34m 31.94s,+22° 00′ 52.2″
M2,NGC 7089,,static/images/m2.jpg,static/images/m2_small.jpg,Globular cluster,33,Aquarius,6.5,16',21h 33m 27.02s,−00° 49′ 23.7″
M3,NGC 5272,,static/images/m3.jpg,static/images/m3_small.jpg,Globular cluster,33.9,Canes Venatici,6.2,18',13h 42m 11.62s,+28° 22′ 38.2″
M4,NGC 6121,Spider Globular Cluster,static/images/m4.jpg,static/images/m4_small.jpg,Globular cluster,7.2,Scorpius,5.6,26',16h 23m 35.22s,−26° 31′ 32.7″
M5,NGC 5904,Rose Cluster,static/images/m5.jpg,static/images/m5_small.jpg,Globular cluster,24.5,Serpens,5.6,23',15h 18m 33.22s,+02° 04′ 51.7″
M6,NGC 6405,Butterfly Cluster,static/images/m6.jpg,static/images/m6_small.jpg,Open cluster,1.6,Scorpius,4.2,25',17h 40.1m,−32° 13′
M7,NGC 6475,''Ptolemy's Cluster'',static/images/m7.jpg,static/images/m7_small.jpg,Open cluster,0.65–1.31,Scorpius,3.3,80',17h 53m 51.2s,−34° 47′ 34″
M8,NGC 6523,Lagoon Nebula,static/images/m8.jpg,static/images/m8_small.jpg,Nebula with cluster,4.1,Sagittarius,4.6,90′ × 40′,18h 03m 37s,−24° 23′ 12″
M9,NGC 6333,,static/images/m9.jpg,static/images/m9_small.jpg,Globular cluster,25.8,Ophiuchus,7.7,9.3',17h 19m 11.78s,−18° 30′ 58.5″
M10,NGC 6254,,static/images/m10.jpg,static/images/m10_small.jpg,Globular cluster,14.3,Ophiuchus,6.6,20',16h 57m 8.92s,−04° 05′ 58.07″
M11,NGC 6705,Wild Duck Cluster,static/images/m11.jpg,static/images/m11_small.jpg,Open cluster,6.2,Scutum,5.8,22.8',18h 51.1m,−06° 16′
M12,NGC 6218,,static/images/m12.jpg,static/images/m12_small.jpg,Globular cluster,15.7,Ophiuchus,6.7,16',16h 47m 14.18s,−01° 56′ 54.7″
M13,NGC 6205,Great Hercules Cluster,static/images/m13.jpg,static/images/m13_small.jpg,Globular cluster,22.2,Hercules,5.8,20',16h 41m 41.24s,+36° 27′ 35.5″
M14,NGC 6402,,static/images/m14.jpg,static/images/m14_small.jpg,Globular cluster,30.3,Ophiuchus,7.6,11',17h 37m 36.15s,−03° 14′ 45.3″
M15,NGC 7078,Great Pegasus Cluster,static/images/m15.jpg,static/images/m15_small.jpg,Globular cluster,33,Pegasus,6.2,18',21h 29m 58.33s,+12° 10′ 01.2″
M16,NGC 6611,Eagle Nebula,static/images/m16.jpg,static/images/m16_small.jpg,H II region nebula with cluster,7,Serpens,6.4,70' x 50',18h 18m 48s,−13° 49′
M17,NGC 6618,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",static/images/m17.jpg,static/images/m17_small.jpg,H II region nebula with cluster,5–6,Sagittarius,6.0,11',18h 20m 26s,−16° 10′ 36″
M18,NGC 6613,Black Swan Cluster,static/images/m18.jpg,static/images/m18_small.jpg,Open cluster,4.9,Sagittarius,7.5,9.8',18h 19.9m,−17° 08′
M19,NGC 6273,,static/images/m19.jpg,static/images/m19_small.jpg,Globular cluster,28.7,Ophiuchus,6.8,17',17h 02m 37.69s,−26° 16′ 04.6″
M20,NGC 6514,Trifid Nebula,static/images/m20.jpg,static/images/m20_small.jpg,H II region nebula with cluster,5.2,Sagittarius,6.3,28',18h 02m 23s,−23° 01′ 48″
M21,NGC 6531,''Webb's Cross Cluster'',static/images/m21.jpg,static/images/m21_small.jpg,Open cluster,4.25,Sagittarius,6.5,14',18h 04.6m,−22° 30′
